Date,Open,High,Low,Close
7/31/20,3270.45,3272.17,3220.26,3271.12
7/30/20,3231.76,3250.92,3204.13,3246.22
7/29/20,3227.22,3264.74,3227.22,3258.44
7/28/20,3234.27,3243.72,3216.17,3218.44
7/27/20,3219.84,3241.43,3214.25,3239.41
7/24/20,3218.58,3227.26,3200.05,3215.63
7/23/20,3271.64,3279.99,3222.66,3235.66
7/22/20,3254.86,3279.32,3253.1,3276.02
7/21/20,3268.52,3277.29,3247.77,3257.3
7/20/20,3224.29,3258.61,3215.16,3251.84
7/17/20,3224.21,3233.52,3205.65,3224.73
7/16/20,3208.36,3220.39,3198.59,3215.57
7/15/20,3225.98,3238.28,3200.76,3226.56
7/14/20,3141.11,3200.95,3127.66,3197.52
7/13/20,3205.08,3235.32,3149.43,3155.22
7/10/20,3152.47,3186.82,3136.22,3185.04
7/9/20,3176.17,3179.78,3115.7,3152.05
7/8/20,3153.07,3171.8,3136.53,3169.94
7/7/20,3166.44,3184.15,3142.93,3145.32
7/6/20,3155.29,3182.59,3155.29,3179.72
7/2/20,3143.64,3165.81,3124.52,3130.01
7/1/20,3105.92,3128.44,3101.17,3115.86
6/30/20,3050.2,3111.51,3047.83,3100.29
6/29/20,3018.59,3053.89,2999.74,3053.24
6/26/20,3073.2,3073.73,3004.63,3009.05
6/25/20,3046.6,3086.25,3024.01,3083.76
6/24/20,3114.4,3115.01,3032.13,3050.33
6/23/20,3138.7,3154.9,3127.12,3131.29
6/22/20,3094.42,3120.92,3079.39,3117.86
6/19/20,3140.29,3155.53,3083.11,3097.74
6/18/20,3101.64,3120,3093.51,3115.34
6/17/20,3136.13,3141.16,3108.03,3113.49
6/16/20,3131,3153.45,3076.06,3124.74
6/15/20,2993.76,3079.76,2965.66,3066.59
6/12/20,3071.04,3088.42,2984.47,3041.31
6/11/20,3123.53,3123.53,2999.49,3002.1
6/10/20,3213.42,3223.27,3181.49,3190.14
6/9/20,3213.32,3222.71,3193.11,3207.18
6/8/20,3199.92,3233.13,3196,3232.39
6/5/20,3163.84,3211.72,3163.84,3193.93
6/4/20,3111.56,3128.91,3090.41,3112.35
6/3/20,3098.9,3130.94,3098.9,3122.87
6/2/20,3064.78,3081.07,3051.64,3080.82
6/1/20,3038.78,3062.18,3031.54,3055.73
5/29/20,3025.17,3049.17,2998.61,3044.31
5/28/20,3046.61,3068.67,3023.4,3029.73
5/27/20,3015.65,3036.25,2969.75,3036.13
5/26/20,3004.08,3021.72,2988.17,2991.77
5/22/20,2948.05,2956.76,2933.59,2955.45
5/21/20,2969.95,2978.5,2938.57,2948.51
5/20/20,2953.63,2980.29,2953.63,2971.61
5/19/20,2948.59,2964.21,2922.35,2922.94
5/18/20,2913.86,2968.09,2913.86,2953.91
5/15/20,2829.95,2865.01,2816.78,2863.7
5/14/20,2794.54,2852.8,2766.64,2852.5
5/13/20,2865.86,2874.14,2793.15,2820
5/12/20,2939.5,2945.82,2869.59,2870.12
5/11/20,2915.46,2944.25,2903.44,2930.32
5/8/20,2908.83,2932.16,2902.88,2929.8
5/7/20,2878.26,2901.92,2876.48,2881.19
5/6/20,2883.14,2891.11,2847.65,2848.42
5/5/20,2868.88,2898.23,2863.55,2868.44
5/4/20,2815.01,2844.24,2797.85,2842.74
5/1/20,2869.09,2869.09,2821.61,2830.71
