Date,Negative,Neutral,Positive,Polarity,sum,NegPercent,NeuPercent,PosPercent,Open,High,Low,Close,SPXKeywords,CovidKeywords,PerSPX,PerCovid
6/1/20,263,597,555,0.2,1415,19,42,39,INCREASE,INCREASE,INCREASE,INCREASE,466,74,33,5
6/2/20,208,590,663,0.31,1461,14,40,45,INCREASE,INCREASE,INCREASE,INCREASE,411,50,28,3
6/3/20,251,775,710,0.26,1736,14,45,41,INCREASE,INCREASE,INCREASE,INCREASE,574,105,33,6
6/4/20,274,622,598,0.22,1494,18,42,40,INCREASE,DECREASE,DECREASE,DECREASE,413,72,28,5
6/5/20,242,684,800,0.32,1726,14,40,46,INCREASE,INCREASE,INCREASE,INCREASE,613,61,36,4
6/8/20,264,673,707,0.27,1644,16,41,43,INCREASE,INCREASE,INCREASE,INCREASE,438,60,27,4
6/9/20,322,785,798,0.25,1905,17,41,42,INCREASE,DECREASE,DECREASE,DECREASE,473,60,25,3
6/10/20,296,876,885,0.29,2057,14,43,43,INCREASE,INCREASE,DECREASE,DECREASE,506,87,25,4
6/11/20,381,836,696,0.16,1913,20,44,36,DECREASE,DECREASE,DECREASE,DECREASE,705,88,37,5
6/15/20,272,738,756,0.27,1766,15,42,43,DECREASE,DECREASE,DECREASE,INCREASE,591,59,33,3
6/16/20,296,714,727,0.25,1737,17,41,42,INCREASE,INCREASE,INCREASE,INCREASE,481,75,28,4
6/17/20,266,779,648,0.23,1693,16,46,38,INCREASE,DECREASE,INCREASE,DECREASE,471,77,28,5
6/18/20,302,727,610,0.19,1639,18,44,37,DECREASE,DECREASE,DECREASE,INCREASE,424,68,26,4
6/19/20,285,827,754,0.25,1866,15,44,40,INCREASE,INCREASE,DECREASE,DECREASE,425,123,23,7
6/22/20,278,809,731,0.25,1818,15,44,40,DECREASE,DECREASE,DECREASE,INCREASE,389,76,21,4
6/23/20,305,863,784,0.25,1952,16,44,40,INCREASE,INCREASE,INCREASE,INCREASE,410,57,21,3
6/24/20,284,746,756,0.26,1786,16,42,42,DECREASE,DECREASE,DECREASE,DECREASE,489,116,27,6
6/25/20,300,749,775,0.26,1824,16,41,42,DECREASE,DECREASE,DECREASE,INCREASE,477,91,26,5
6/26/20,313,889,815,0.25,2017,16,44,40,INCREASE,DECREASE,DECREASE,DECREASE,504,75,25,4
6/29/20,389,740,791,0.21,1920,20,39,41,DECREASE,DECREASE,DECREASE,INCREASE,429,74,22,4
6/30/20,276,688,1037,0.38,2001,14,34,52,INCREASE,INCREASE,INCREASE,INCREASE,438,90,22,4
