Date,Open,High,Low,Close,Year,Month,Date
2020-07-31,3270.45,3272.17,3220.26,3271.12,2020,7,31
2020-07-30,3231.76,3250.92,3204.13,3246.22,2020,7,30
2020-07-29,3227.22,3264.74,3227.22,3258.44,2020,7,29
2020-07-28,3234.27,3243.72,3216.17,3218.44,2020,7,28
2020-07-27,3219.84,3241.43,3214.25,3239.41,2020,7,27
2020-07-24,3218.58,3227.26,3200.05,3215.63,2020,7,24
2020-07-23,3271.64,3279.99,3222.66,3235.66,2020,7,23
2020-07-22,3254.86,3279.32,3253.1,3276.02,2020,7,22
2020-07-21,3268.52,3277.29,3247.77,3257.3,2020,7,21
2020-07-20,3224.29,3258.61,3215.16,3251.84,2020,7,20
2020-07-17,3224.21,3233.52,3205.65,3224.73,2020,7,17
2020-07-16,3208.36,3220.39,3198.59,3215.57,2020,7,16
2020-07-15,3225.98,3238.28,3200.76,3226.56,2020,7,15
2020-07-14,3141.11,3200.95,3127.66,3197.52,2020,7,14
2020-07-13,3205.08,3235.32,3149.43,3155.22,2020,7,13
2020-07-10,3152.47,3186.82,3136.22,3185.04,2020,7,10
2020-07-09,3176.17,3179.78,3115.7,3152.05,2020,7,9
2020-07-08,3153.07,3171.8,3136.53,3169.94,2020,7,8
2020-07-07,3166.44,3184.15,3142.93,3145.32,2020,7,7
2020-07-06,3155.29,3182.59,3155.29,3179.72,2020,7,6
2020-07-02,3143.64,3165.81,3124.52,3130.01,2020,7,2
2020-07-01,3105.92,3128.44,3101.17,3115.86,2020,7,1
2020-06-30,3050.2,3111.51,3047.83,3100.29,2020,6,30
2020-06-29,3018.59,3053.89,2999.74,3053.24,2020,6,29
2020-06-26,3073.2,3073.73,3004.63,3009.05,2020,6,26
2020-06-25,3046.6,3086.25,3024.01,3083.76,2020,6,25
2020-06-24,3114.4,3115.01,3032.13,3050.33,2020,6,24
2020-06-23,3138.7,3154.9,3127.12,3131.29,2020,6,23
2020-06-22,3094.42,3120.92,3079.39,3117.86,2020,6,22
2020-06-19,3140.29,3155.53,3083.11,3097.74,2020,6,19
2020-06-18,3101.64,3120.0,3093.51,3115.34,2020,6,18
2020-06-17,3136.13,3141.16,3108.03,3113.49,2020,6,17
2020-06-16,3131.0,3153.45,3076.06,3124.74,2020,6,16
2020-06-15,2993.76,3079.76,2965.66,3066.59,2020,6,15
2020-06-12,3071.04,3088.42,2984.47,3041.31,2020,6,12
2020-06-11,3123.53,3123.53,2999.49,3002.1,2020,6,11
2020-06-10,3213.42,3223.27,3181.49,3190.14,2020,6,10
2020-06-09,3213.32,3222.71,3193.11,3207.18,2020,6,9
2020-06-08,3199.92,3233.13,3196.0,3232.39,2020,6,8
2020-06-05,3163.84,3211.72,3163.84,3193.93,2020,6,5
2020-06-04,3111.56,3128.91,3090.41,3112.35,2020,6,4
2020-06-03,3098.9,3130.94,3098.9,3122.87,2020,6,3
2020-06-02,3064.78,3081.07,3051.64,3080.82,2020,6,2
2020-06-01,3038.78,3062.18,3031.54,3055.73,2020,6,1
2020-05-29,3025.17,3049.17,2998.61,3044.31,2020,5,29
2020-05-28,3046.61,3068.67,3023.4,3029.73,2020,5,28
2020-05-27,3015.65,3036.25,2969.75,3036.13,2020,5,27
2020-05-26,3004.08,3021.72,2988.17,2991.77,2020,5,26
2020-05-22,2948.05,2956.76,2933.59,2955.45,2020,5,22
2020-05-21,2969.95,2978.5,2938.57,2948.51,2020,5,21
2020-05-20,2953.63,2980.29,2953.63,2971.61,2020,5,20
2020-05-19,2948.59,2964.21,2922.35,2922.94,2020,5,19
2020-05-18,2913.86,2968.09,2913.86,2953.91,2020,5,18
2020-05-15,2829.95,2865.01,2816.78,2863.7,2020,5,15
2020-05-14,2794.54,2852.8,2766.64,2852.5,2020,5,14
2020-05-13,2865.86,2874.14,2793.15,2820.0,2020,5,13
2020-05-12,2939.5,2945.82,2869.59,2870.12,2020,5,12
2020-05-11,2915.46,2944.25,2903.44,2930.32,2020,5,11
2020-05-08,2908.83,2932.16,2902.88,2929.8,2020,5,8
2020-05-07,2878.26,2901.92,2876.48,2881.19,2020,5,7
2020-05-06,2883.14,2891.11,2847.65,2848.42,2020,5,6
2020-05-05,2868.88,2898.23,2863.55,2868.44,2020,5,5
2020-05-04,2815.01,2844.24,2797.85,2842.74,2020,5,4
2020-05-01,2869.09,2869.09,2821.61,2830.71,2020,5,1
